rank_window,heat_score,heat_rank_score,source,kind,agency,title,published_date,url,document_url,format,rationale,heat_score_today,exact_url_mentions_today,filename_mentions_today,social_exact_mentions_today,social_engagement_today,providers_checked_today,errors_today,heat_score_7d,exact_url_mentions_7d,filename_mentions_7d,social_exact_mentions_7d,social_engagement_7d,providers_checked_7d,errors_7d,heat_score_30d,exact_url_mentions_30d,filename_mentions_30d,social_exact_mentions_30d,social_engagement_30d,providers_checked_30d,errors_30d
7d,0.0,0.0,NYC Department of Investigation,report,,"DOI's Findings Regarding ""Skimming"" of Electronic Benefit Transfer Cards that Provide Vital Funds to Low-Income New Yorkers and Related Recommendations",2025-09-04,https://www.nyc.gov/assets/doi/reports/pdf/2025/34SkimmingRelease.Rpt.09.04.2025.pdf,https://www.nyc.gov/assets/doi/reports/pdf/2025/34SkimmingRelease.Rpt.09.04.2025.pdf,pdf,no public link pickups found in checked sources,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",
7d,0.0,0.0,NYC Department of Investigation,report,,DOI's 2024 Annual Anti-Corruption Report,2025-09-03,https://www.nyc.gov/assets/doi/reports/pdf/2025/33AntiCorruption.Release.Rpt.09.03.2025.pdf,https://www.nyc.gov/assets/doi/reports/pdf/2025/33AntiCorruption.Release.Rpt.09.03.2025.pdf,pdf,no public link pickups found in checked sources,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",
7d,0.0,0.0,NYC Department of Investigation,report,,DOI's Investigation of Excessive Workers' Compensation Claims by City Department of Correction Employees,2025-05-19,https://www.nyc.gov/assets/doi/reports/pdf/2025/25Rpt.Release.WorkersComp05.19.2025.pdf,https://www.nyc.gov/assets/doi/reports/pdf/2025/25Rpt.Release.WorkersComp05.19.2025.pdf,pdf,no public link pickups found in checked sources,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",
7d,0.0,0.0,NYC Department of Investigation,report,,Eleventh Annual Report of DOI's Office of the Inspector General for the NYPD,2025-04-01,https://www.nyc.gov/assets/doi/reports/pdf/2025/17OIGNYPDARRelease.Rpt.04.01.2025.pdf,https://www.nyc.gov/assets/doi/reports/pdf/2025/17OIGNYPDARRelease.Rpt.04.01.2025.pdf,pdf,no public link pickups found in checked sources,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",
7d,0.0,0.0,NYC Department of Investigation,report,,Safeguarding NYCHA Residents: A Review of Select Safety Measures at Senior Buildings & Compliance with Fire Guard Requirements,2025-03-26,https://www.nyc.gov/assets/doi/reports/pdf/2025/14NYCHASecurityFireReleaseRpt03.26.2025.pdf,https://www.nyc.gov/assets/doi/reports/pdf/2025/14NYCHASecurityFireReleaseRpt03.26.2025.pdf,pdf,no public link pickups found in checked sources,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",
7d,0.0,0.0,NYC Department of Investigation,report,,Investigation into the October 2023 Physical Altercation Involving Former Senior Advisor to the Mayor for Public Safety Timothy Pearson,2025-02-20,https://www.nyc.gov/assets/doi/reports/pdf/2025/10TouroRpt.Release.02.20.2025.pdf,https://www.nyc.gov/assets/doi/reports/pdf/2025/10TouroRpt.Release.02.20.2025.pdf,pdf,no public link pickups found in checked sources,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",
7d,0.0,0.0,NYC Department of Investigation,report,,An Assessment of NYPD's Use of Social Media,2025-01-28,https://www.nyc.gov/assets/doi/reports/pdf/2025/04SocialMediaRpt_Release_01.28.2025.pdf,https://www.nyc.gov/assets/doi/reports/pdf/2025/04SocialMediaRpt_Release_01.28.2025.pdf,pdf,no public link pickups found in checked sources,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",
7d,0.0,0.0,NYC Department of Investigation,report,,Equal Employment Opportunity Policies and Practices at the New York City Board of Elections,2025-01-08,https://www.nyc.gov/assets/doi/reports/pdf/2025/02BOERpt.Release01.08.2025.pdf,https://www.nyc.gov/assets/doi/reports/pdf/2025/02BOERpt.Release01.08.2025.pdf,pdf,no public link pickups found in checked sources,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",
7d,0.0,0.0,NYC Department of Investigation,report,,Investigation Concerning New York City Police Department Security Details for City Elected Officials,2025-01-08,https://www.nyc.gov/assets/doi/reports/pdf/2025/01SecurityDetailRpt.Release01.08.2025.pdf,https://www.nyc.gov/assets/doi/reports/pdf/2025/01SecurityDetailRpt.Release01.08.2025.pdf,pdf,no public link pickups found in checked sources,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",
7d,0.0,0.0,NYC Department of Investigation,report,,An Assessment of NYPD's Compliance with the POST Act,2024-12-18,https://www.nyc.gov/assets/doi/reports/pdf/2024/49PostActRelease.Rpt.12.18.2024.pdf,https://www.nyc.gov/assets/doi/reports/pdf/2024/49PostActRelease.Rpt.12.18.2024.pdf,pdf,no public link pickups found in checked sources,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",
7d,0.0,0.0,NYC Department of Investigation,report,,A Review of NYPD's Community Response Team,2024-11-26,https://www.nyc.gov/assets/doi/reports/pdf/2024/45CRT.Rpt.Release11.26.2024.pdf,https://www.nyc.gov/assets/doi/reports/pdf/2024/45CRT.Rpt.Release11.26.2024.pdf,pdf,no public link pickups found in checked sources,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",
7d,0.0,0.0,NYC Department of Investigation,report,,Field Testing for Fentanyl: An Examination of the Reliability of the New York City Department of Correction's Narcotics Testing,2024-11-20,https://www.nyc.gov/assets/doi/reports/pdf/2024/FieldTestingRpt11.20.2024.pdf,https://www.nyc.gov/assets/doi/reports/pdf/2024/FieldTestingRpt11.20.2024.pdf,pdf,no public link pickups found in checked sources,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",
7d,0.0,0.0,NYC Department of Investigation,report,,Contraband Smuggling in the City's Jails and Critical Recommendations for Improved Security Measures,2024-11-20,https://www.nyc.gov/assets/doi/reports/pdf/2024/ContrabandRpt.11.20.2024.pdf,https://www.nyc.gov/assets/doi/reports/pdf/2024/ContrabandRpt.11.20.2024.pdf,pdf,no public link pickups found in checked sources,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",
7d,0.0,0.0,NYC Department of Investigation,report,,"The Impact of Raise the Age & Bail Reform: Safety, Disciplinary, & Staffing Challenges at the City's Juvenile Detention Facilities",2024-10-24,https://www.nyc.gov/assets/doi/press-releases/2024/October/40DYFJRpt.Release.pdf,https://www.nyc.gov/assets/doi/press-releases/2024/October/40DYFJRpt.Release.pdf,pdf,no public link pickups found in checked sources,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",
7d,0.0,0.0,NYC Department of Investigation,report,,DOI's Examination of Compliance Risks at City-Funded Homeless Shelter Providers and the City's Oversight of Shelter Providers,2024-10-17,https://www.nyc.gov/assets/doi/press-releases/2024/October/39DHSRptRelease10.17.2024.pdf,https://www.nyc.gov/assets/doi/press-releases/2024/October/39DHSRptRelease10.17.2024.pdf,pdf,no public link pickups found in checked sources,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",
7d,0.0,0.0,NYC Department of Investigation,report,,DOI and NYC Comptroller Report Concerning Contracting of For-Hire Vehicle Services by the NYC Board of Elections,2024-07-18,https://www.nyc.gov/assets/doi/reports/pdf/2024/BOE_FHV_Rpt_Release_07.18.2024.pdf,https://www.nyc.gov/assets/doi/reports/pdf/2024/BOE_FHV_Rpt_Release_07.18.2024.pdf,pdf,no public link pickups found in checked sources,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",
7d,0.0,0.0,NYC Department of Investigation,report,,2023 Annual Anti-Corruption Report,2024-07-11,https://www.nyc.gov/assets/doi/press-releases/2024/July/31AntiCorrRpt.Release.07.11.2024.pdf,https://www.nyc.gov/assets/doi/press-releases/2024/July/31AntiCorrRpt.Release.07.11.2024.pdf,pdf,no public link pickups found in checked sources,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",
7d,0.0,0.0,NYC Department of Investigation,report,,NYC Board of Elections' Misuse of Annual and Sick Leave Related to Its Former General Counsel,2024-07-02,https://www.nyc.gov/assets/doi/reports/pdf/2024/30BOE.Richman.Release.Rpt.07.02.2024.pdf,https://www.nyc.gov/assets/doi/reports/pdf/2024/30BOE.Richman.Release.Rpt.07.02.2024.pdf,pdf,no public link pickups found in checked sources,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",
7d,0.0,0.0,NYC Department of Investigation,report,,Report on the City Department of Citywide Administrative Services' (DCAS) Administration of the 2022 NYPD Promotion to Sergeant Exam,2024-06-03,https://www.nyc.gov/assets/doi/reports/pdf/2024/26DCASExamRelease.Rpt.06.03.2024.pdf,https://www.nyc.gov/assets/doi/reports/pdf/2024/26DCASExamRelease.Rpt.06.03.2024.pdf,pdf,no public link pickups found in checked sources,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",
7d,0.0,0.0,NYC Department of Investigation,report,,An Assessment of NYPD's Compliance with the POST Act,2024-05-30,https://www.nyc.gov/assets/doi/reports/pdf/2024/25PostActRelease_Rpt_05_30_2024.pdf,https://www.nyc.gov/assets/doi/reports/pdf/2024/25PostActRelease_Rpt_05_30_2024.pdf,pdf,no public link pickups found in checked sources,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",
7d,0.0,0.0,NYC Department of Investigation,report,,Investigation of Water-Related Concerns in 2022 at NYCHA's Jacob Riis Houses,2024-05-16,https://www.nyc.gov/assets/doi/reports/pdf/2024/23ArsenicRpt.Release.05.16.2024.pdf,https://www.nyc.gov/assets/doi/reports/pdf/2024/23ArsenicRpt.Release.05.16.2024.pdf,pdf,no public link pickups found in checked sources,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",
7d,0.0,0.0,NYC Department of Investigation,report,,The Department of Investigation's Report Pursuant to Local Law 6 of 2020 (Related to City-Issued Parking Placards),2024-04-03,https://www.nyc.gov/assets/doi/press-releases/2024/April/17LL6.Rpt.Release.04.03.2024.pdf,https://www.nyc.gov/assets/doi/press-releases/2024/April/17LL6.Rpt.Release.04.03.2024.pdf,pdf,no public link pickups found in checked sources,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",
7d,0.0,0.0,NYC Department of Investigation,report,,2024 Annual Report of the Office of the Inspector General for the NYPD: Ten Years of Oversight,2024-03-28,https://www.nyc.gov/assets/doi/reports/pdf/2024/OIGNYPD2024AR.Rpt.Release.03.28.2024.pdf,https://www.nyc.gov/assets/doi/reports/pdf/2024/OIGNYPD2024AR.Rpt.Release.03.28.2024.pdf,pdf,no public link pickups found in checked sources,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",
7d,0.0,0.0,NYC Department of Investigation,report,,Investigation into Two Allegations Concerning Data Maintenance and Reporting at the Department of Homeless Services PATH Intake Center,2024-01-09,https://www.nyc.gov/assets/doi/press-releases/2024/January/02DSSRelease.Rpt.01.09.2024.pdf,https://www.nyc.gov/assets/doi/press-releases/2024/January/02DSSRelease.Rpt.01.09.2024.pdf,pdf,no public link pickups found in checked sources,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",
7d,0.0,0.0,NYC Department of Investigation,report,,DOI's Investigation into Asbestos Safety Regulation Governing Certified Asbestos Investigators (CAIs),2023-12-14,https://www.nyc.gov/assets/doi/press-releases/2023/December/40CAIRpt.Release.12.14.2023.pdf,https://www.nyc.gov/assets/doi/press-releases/2023/December/40CAIRpt.Release.12.14.2023.pdf,pdf,no public link pickups found in checked sources,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",
7d,0.0,0.0,NYC Department of Investigation,report,,A Report on New York City Department of Social Services' Improper Payments to Brokers Who Place Clients into Private Housing,2023-06-29,https://www.nyc.gov/assets/doi/press-releases/2023/June/27DSS.BrokerRpt.Release.06.29.2023.pdf,https://www.nyc.gov/assets/doi/press-releases/2023/June/27DSS.BrokerRpt.Release.06.29.2023.pdf,pdf,no public link pickups found in checked sources,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",
7d,0.0,0.0,NYC Department of Investigation,report,,Statement of Findings Regarding NYPD's Technical Assistance and Response Unit and the Revised Handschu Guidelines,2023-06-28,https://www.nyc.gov/assets/doi/press-releases/2023/June/26Handschu.Stment.Release.06.28.2023.pdf,https://www.nyc.gov/assets/doi/press-releases/2023/June/26Handschu.Stment.Release.06.28.2023.pdf,pdf,no public link pickups found in checked sources,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",
7d,0.0,0.0,NYC Department of Investigation,report,,Securus Technologies and Breached Attorney-Client Privileged Department of Correction Telephone Calls,2023-05-04,https://www.nyc.gov/assets/doi/press-releases/2023/May/22SecurusTechRpt.Release.05.04.2023.pdf,https://www.nyc.gov/assets/doi/press-releases/2023/May/22SecurusTechRpt.Release.05.04.2023.pdf,pdf,no public link pickups found in checked sources,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",
7d,0.0,0.0,NYC Department of Investigation,report,,Overtime Under Review: NYPD Overtime and the Increased Risk of Negative Policing Outcomes,2023-05-03,https://www.nyc.gov/assets/doi/press-releases/2023/May/21OIGNYPD.OT.Rpt.Release.05.03.2023.pdf,https://www.nyc.gov/assets/doi/press-releases/2023/May/21OIGNYPD.OT.Rpt.Release.05.03.2023.pdf,pdf,no public link pickups found in checked sources,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",
7d,0.0,0.0,NYC Department of Investigation,report,,2022 Annual Anti-Corruption Report,2023-05-01,https://www.nyc.gov/assets/doi/press-releases/2023/May/19AntiCorrRpt.Release.05.01.2023.docx.pdf,https://www.nyc.gov/assets/doi/press-releases/2023/May/19AntiCorrRpt.Release.05.01.2023.docx.pdf,pdf,no public link pickups found in checked sources,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",
7d,0.0,0.0,NYC Department of Investigation,report,,An Investigation into NYPD's Criminal Group Database,2023-04-18,https://www.nyc.gov/assets/doi/reports/pdf/2023/16CGDRpt.Release04.18.2023.pdf,https://www.nyc.gov/assets/doi/reports/pdf/2023/16CGDRpt.Release04.18.2023.pdf,pdf,no public link pickups found in checked sources,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",
7d,0.0,0.0,NYC Department of Investigation,report,,Ninth Annual Report: Office of the Inspector General for the NYPD,2023-03-30,https://www.nyc.gov/assets/doi/reports/pdf/2023/13OIGNYPDRpt.Release.03.30.2023.pdf,https://www.nyc.gov/assets/doi/reports/pdf/2023/13OIGNYPDRpt.Release.03.30.2023.pdf,pdf,no public link pickups found in checked sources,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",
7d,0.0,0.0,NYC Department of Investigation,report,,Fire Safety and Prevention in Public Housing,2023-03-30,https://www.nyc.gov/assets/doi/reports/pdf/2023/12NYCHAfiresafety.Rpt.Release03.30.2023.pdf,https://www.nyc.gov/assets/doi/reports/pdf/2023/12NYCHAfiresafety.Rpt.Release03.30.2023.pdf,pdf,no public link pickups found in checked sources,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",
7d,0.0,0.0,NYC Department of Investigation,report,,An Assessment of NYPD's Response to the POST (Public Oversight of Surveillance Technology) Act,2022-11-03,https://www.nyc.gov/assets/doi/reports/pdf/2022/20PostActRelease.Rpt.11.03.2022.pdf,https://www.nyc.gov/assets/doi/reports/pdf/2022/20PostActRelease.Rpt.11.03.2022.pdf,pdf,no public link pickups found in checked sources,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",
7d,0.0,0.0,NYC Department of Investigation,report,,Eighth Annual Report Issued by DOI’s Office of The Inspector General for The New York City Police Department,2022-03-31,https://www.nyc.gov/assets/doi/press-releases/2022/March/08OIGNYPDAnnualRpt_Release_3312022.pdf,https://www.nyc.gov/assets/doi/press-releases/2022/March/08OIGNYPDAnnualRpt_Release_3312022.pdf,pdf,no public link pickups found in checked sources,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",
7d,0.0,0.0,NYC Department of Investigation,report,,DOI's Investigation into Arverne by the Sea Homeowners,2022-02-08,https://www.nyc.gov/assets/doi/press-releases/2022/February/ArverneRpt.02.08.22.pdf,https://www.nyc.gov/assets/doi/press-releases/2022/February/ArverneRpt.02.08.22.pdf,pdf,no public link pickups found in checked sources,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",
7d,0.0,0.0,NYC Comptroller,report,,AI and New York City’s Fiscal Future,2026-05-21,https://comptroller.nyc.gov/reports/ai-and-new-york-citys-fiscal-future,,html,no public link pickups found in checked sources,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,4.0,0,0,2,0,"bluesky,hackernews,newsrss",
7d,0.0,0.0,NYC Comptroller,report,,"Letter to SpaceX re: IPO From NYC Comptroller Levine, NYS Comptroller DiNapoli, and CalPERS CEO Frost",2026-05-14,https://comptroller.nyc.gov/reports/letter-to-spacex-re-ipo-from-nyc-comptroller-levine-nys-comptroller-dinapoli-and-calpers-ceo-frost,,html,no public link pickups found in checked sources,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,2.0,0,0,1,0,"bluesky,hackernews,newsrss",
7d,0.0,0.0,NYC Comptroller,report,,Review of the City’s Animal Population Control Efforts,2026-05-08,https://comptroller.nyc.gov/reports/review-of-the-citys-animal-population-control-efforts,,html,no public link pickups found in checked sources,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,5.2,0,0,2,6,"bluesky,hackernews,newsrss",
7d,0.0,0.0,NYC Comptroller,report,,The Monty Hall Contracts: Unchecked Spending Across the City’s Master Agreements,2026-05-06,https://comptroller.nyc.gov/reports/the-monty-hall-contracts-unchecked-spending-across-the-citys-master-agreements,,html,no public link pickups found in checked sources,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",,0.0,0,0,0,0,"bluesky,hackernews,newsrss",
